time,P1,P13,P14,P15,P16,P17,P18,P2,P24,P3,P5,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T20,T6,T7,T8,T9
0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,100.0,10.0,419,396,409,424,393,410,25,16,1,406,1675.2439580984797,411,417,408,434
0.05399999999999999,4972.63997643555,0.0,0.0,0.0,0.0,0.0,1.0,5007.854524032319,0.0,99.99459999999995,10.0,419,396,409,425,394,410,25,16,1,406,1675.4599575093685,411,417,408,434
0.10800000000000003,4981.279910452158,0.0,0.0,0.0,0.0,0.0,1.0,5015.709009501964,0.0,99.9891999999999,10.0,419,396,409,425,394,410,25,16,1,406,1675.6759558597835,411,417,408,434
0.16200000000000006,4989.919802045659,0.0,0.0,0.0,0.0,0.0,1.0,5023.563456405146,0.0,99.98379999999985,10.0,419,396,409,425,394,410,25,16,1,406,1675.891953149621,411,417,408,434
0.2160000000000001,4998.559651211887,0.0,0.0,0.0,0.0,0.0,1.0,5031.417864738081,0.0,99.9783999999998,10.0,419,396,409,425,394,410,25,16,1,406,1676.1079493787765,411,417,408,434
0.27000000000000013,5007.199457946677,0.0,0.0,0.0,0.0,0.0,1.0,5039.272234496982,0.0,99.97299999999974,10.0,419,396,409,425,394,410,25,16,1,406,1676.3239445471463,411,417,408,434
0.3240000000000002,5015.8392222458615,0.0,0.0,0.0,0.0,0.0,1.0,5047.126565678056,0.0,99.96759999999969,10.0,419,396,409,425,394,410,25,16,1,406,1676.5399386546258,411,417,408,434
0.3780000000000002,5024.47894410527,0.0,0.0,0.0,0.0,0.0,1.0,5054.9808582775195,0.0,99.96219999999964,10.0,419,396,409,425,394,410,25,16,1,406,1676.7559317011112,411,417,408,434
0.4320000000000003,5033.118623520735,0.0,0.0,0.0,0.0,0.0,1.0,5062.835112291581,0.0,99.95679999999959,10.0,419,396,409,425,394,410,25,16,1,406,1676.9719236864976,411,417,408,434
0.4860000000000003,5041.758260488091,0.0,0.0,0.0,0.0,0.0,1.0,5070.689327716449,0.0,99.95139999999954,10.0,419,396,409,425,394,410,25,16,1,406,1677.1879146106817,411,417,408,434
0.5400000000000004,5018.397855003164,0.0,1.0,0.0,0.0,0.0,1.0,5028.543504548333,0.0,99.94599999999949,10.0,419,396,409,425,394,410,25,16,1,406,1677.4039044735587,411,418,408,434
0.5940000000000004,5027.037407061787,0.0,1.0,0.0,0.0,0.0,1.0,5036.397642783443,0.0,99.94059999999943,10.0,419,396,409,425,394,410,25,16,1,406,1677.6198932750244,411,418,408,434
0.6480000000000005,5035.676916659789,0.0,1.0,0.0,0.0,0.0,1.0,5044.2517424179905,0.0,99.93519999999938,10.0,419,396,409,425,394,410,25,16,1,406,1677.8358810149743,411,418,408,434
0.7020000000000005,5044.316383792996,0.0,1.0,0.0,0.0,0.0,1.0,5052.105803448178,0.0,99.92979999999933,10.0,419,396,409,425,394,410,25,16,1,406,1678.0518676933048,411,418,408,434
0.7560000000000006,5040.955808457238,0.0,1.0,1.0,0.0,0.0,1.0,5059.959825870215,0.0,99.92439999999928,10.0,419,396,409,425,394,410,25,16,1,406,1678.2678533099113,411,418,409,434
0.8100000000000006,5033.5951906483415,0.0,1.0,1.0,0.0,0.0,1.0,5067.8138096803095,1.0,99.91899999999923,10.0,419,396,409,425,394,410,25,16,1,407,1678.483837864689,411,418,409,434
0.8640000000000007,5042.234530362133,0.0,1.0,1.0,0.0,0.0,1.0,5075.667754874666,1.0,99.91359999999918,10.0,419,396,409,425,394,410,25,16,1,407,1678.699821357534,411,418,409,434
0.9180000000000007,5040.873827594439,1.0,1.0,1.0,0.0,0.0,1.0,5083.52166144949,1.0,99.90819999999913,10.0,419,396,409,425,394,410,25,16,1,407,1678.915803788342,412,418,409,434
0.9720000000000008,5044.5130823410855,1.0,1.0,1.0,0.0,0.0,1.0,5091.375529400987,1.0,99.90279999999908,9.0,420,396,409,425,394,410,25,16,1,407,1679.1317851570082,412,418,409,434
1.0260000000000007,4988.152294597897,1.0,2.0,2.0,0.0,1.0,1.0,5049.229358725362,1.0,99.89739999999902,8.0,421,396,410,425,394,410,25,16,1,407,1679.3477654634287,412,419,410,434
1.0800000000000007,4996.791464360698,1.0,2.0,2.0,0.0,1.0,1.0,5057.083149418816,1.0,99.89199999999897,8.0,421,396,410,425,394,410,25,16,1,407,1679.563744707499,412,419,410,434
1.1340000000000008,5005.4305916253115,1.0,2.0,2.0,0.0,1.0,1.0,5064.936901477556,1.0,99.88659999999892,8.0,421,396,410,425,394,410,25,16,1,407,1679.7797228891143,412,419,410,434
