time,P1,P13,P14,P15,P16,P17,P18,P2,P21,P24,P3,P5,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T20,T6,T7,T8,T9
0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,100.0,10.0,371,431,408,437,422,417,4.307487720869649,4.539864134500415,0.035782473268749594,393,1679.9999999969552,442,400,423,415
0.05399999999999999,308.6399999999998,0.0,0.0,0.0,0.0,0.0,0.0,3007.8545454545465,4.5309676302959076e-27,0.0,100.0,10.0,371,431,408,437,422,417,4.307487720869649,4.539864134500415,0.035782473268749594,393,1680.2159999969542,442,400,423,415
0.10800000000000003,317.27999999999963,0.0,0.0,0.0,0.0,0.0,0.0,3015.709090909093,1.0648480800594228e-26,0.0,100.0,10.0,371,431,408,437,422,417,4.307487720869649,4.539864134500415,0.035782473268749594,393,1680.4319999969532,442,400,423,415
0.16200000000000006,325.91999999999945,0.0,0.0,0.0,0.0,0.0,0.0,3023.5636363636395,1.5308175458934396e-26,0.0,100.0,10.0,371,431,408,437,422,417,4.307487720869649,4.539864134500415,0.035782473268749594,393,1680.6479999969522,442,400,423,415
0.2160000000000001,334.55999999999926,0.0,0.0,0.0,0.0,0.0,0.0,3031.418181818186,2.31755549133754e-26,0.0,100.0,10.0,371,431,408,437,422,417,4.307487720869649,4.539864134500415,0.035782473268749594,393,1680.8639999969512,442,400,423,415
0.27000000000000013,327.1999999999991,0.0,0.0,0.0,0.0,0.0,0.0,3039.2727272727325,2.94168640994846e-26,1.0,100.0,10.0,371,431,408,437,422,417,4.307487720869649,4.539864134500415,0.035782473268749594,394,1681.0799999969502,442,400,423,415
0.3240000000000002,319.8399999999989,0.0,0.0,0.0,0.0,0.0,1.0,3047.127272727279,3.413380728256655e-26,1.0,100.0,10.0,371,431,408,438,422,417,4.307487720869649,4.539864134500415,0.03578247326874961,394,1681.2959999969491,442,400,423,415
0.3780000000000002,328.4799999999987,0.0,0.0,0.0,0.0,0.0,1.0,3054.9818181818255,3.5697392573679926e-26,1.0,100.0,10.0,371,431,408,438,422,417,4.307487720869649,4.539864134500415,0.03578247326874968,394,1681.5119999969481,442,400,423,415
0.4320000000000003,337.1199999999985,0.0,0.0,0.0,0.0,0.0,1.0,3062.836363636372,3.886149480865617e-26,1.0,100.0,10.0,371,431,408,438,422,417,4.307487720869649,4.539864134500415,0.03578247326874969,394,1681.7279999969471,442,400,423,415
0.4860000000000003,325.7599885050383,0.0,0.0,0.0,0.0,0.0,1.0,3070.690906217177,4.350888639401897e-26,1.0,100.0,10.0,371,431,408,438,422,418,4.307487720869649,4.539864278187416,0.03578247326877441,394,1681.943999996946,442,400,423,415
0.5400000000000004,302.39994279654917,0.0,0.0,0.0,0.0,0.0,2.0,3078.5454402445894,5.103739907685385e-26,2.0,100.0,10.0,371,431,408,439,422,418,4.307487720869649,4.539864849543528,0.03578247326901985,395,1682.159999996945,442,400,423,415
0.5940000000000004,306.0399204103432,0.0,0.0,0.0,0.0,0.0,2.0,3086.399980102498,5.55836645579148e-26,2.0,100.0,9.0,372,431,408,439,422,418,4.307487720869649,4.5398651293711,0.035782473270727526,395,1682.375999996944,442,400,423,415
0.6480000000000005,314.679829904754,0.0,0.0,0.0,0.0,0.0,2.0,3094.2545029305716,5.862527684121277e-26,2.0,100.0,9.0,372,431,408,439,422,418,4.307487720869649,4.539866260690962,0.03578247327223686,395,1682.591999996943,442,400,423,415
0.7020000000000005,323.31976119229824,0.0,0.0,0.0,0.0,0.0,2.0,3102.1090312068172,6.017693388558755e-26,2.0,100.0,9.0,372,431,408,439,422,418,4.307487720869649,4.539867119596656,0.03578247327598524,395,1682.807999996942,442,400,423,415
0.7560000000000006,326.959715177192,0.0,0.0,0.0,0.0,0.0,2.0,3109.9635651573008,6.328155068033629e-26,2.0,100.0,8.0,373,431,408,439,422,418,4.307487720869649,4.539867694785483,0.035782473281703045,395,1683.023999996941,442,400,423,415
0.8100000000000006,325.5996459355608,0.0,0.0,0.0,0.0,0.0,2.0,3117.8180933012313,6.79829136239242e-26,2.0,100.0,6.0,375,431,408,439,422,418,4.307487720869649,4.53986856030587,0.03578247328586689,395,1683.23999999694,442,400,423,415
