time,P14,P21,P3,P6,P7,P8
0.0,0.0,0,0,0,0,0
0.3,0.0,0,0,0,0,0
0.306,0.0,0,0,0,0,0
0.606,0.0,0,0,0,0,0
0.612,0.0,0,0,0,0,0
0.9119999999999999,0.0,0,0,0,0,0
0.9179999999999999,0.0,0,0,0,0,0
1.218,0.0,0,0,0,0,0
1.224,0.0,0,0,0,0,0
1.524,0.0,0,0,0,0,0
1.53,0.0,0,0,0,0,0
1.83,0.0,0,0,0,0,0
1.836,0.0,0,0,0,0,0
2.136,0.0,0,0,0,0,0
2.142,0.0,0,0,0,0,0
2.4419999999999997,0.0,0,0,0,0,0
2.4479999999999995,0.0,0,0,0,0,0
2.7479999999999993,0.0,0,0,0,0,0
2.7519999999999993,0.0,0,0,0,0,0
3.051999999999999,0.0,0,0,0,0,0
3.055999999999999,0.0,0,0,0,0,0
3.355999999999999,0.0,0,0,0,0,0
3.359999999999999,0.0,0,0,0,0,0
3.659999999999999,0.0,0,0,0,0,0
3.663999999999999,0.0,0,0,0,0,0
3.9639999999999986,0.0,0,0,0,0,0
3.9679999999999986,0.0,0,0,0,0,0
4.267999999999999,0.0,0,0,0,0,0
4.2719999999999985,0.0,0,0,0,0,0
4.571999999999998,0.0,0,0,0,0,0
4.575999999999998,0.0,0,0,0,0,0
4.875999999999998,0.0,0,0,0,0,0
4.879999999999997,0.0,0,0,0,0,0
5.179999999999997,0.0,0,0,0,0,0
5.183999999999997,0.0,0,0,0,0,0
5.483999999999996,0.0,0,0,0,0,0
5.487999999999996,0.0,0,0,0,0,0
5.787999999999996,0.0,0,0,0,0,0
5.791999999999995,0.0,0,0,0,0,0
6.091999999999995,0.0,0,0,0,0,0
6.095999999999995,0.0,0,0,0,0,0
6.395999999999995,0.0,0,0,0,0,0
6.399999999999994,0.0,0,0,0,0,0
6.699999999999994,0.0,0,0,0,0,0
6.7039999999999935,0.0,0,0,0,0,0
7.003999999999993,0.0,0,0,0,0,0
7.007999999999993,0.0,0,0,0,0,0
7.307999999999993,0.0,0,0,0,0,0
7.311999999999992,0.0,0,0,0,0,0
7.611999999999992,0.0,0,0,0,0,0
7.615999999999992,0.0,0,0,0,0,0
7.9159999999999915,0.0,0,0,0,0,0
7.919999999999991,0.0,0,0,0,0,0
8.219999999999992,0.0,0,0,0,0,0
8.223999999999991,0.0,0,0,0,0,0
8.523999999999992,0.0,0,0,0,0,0
8.527999999999992,0.0,0,0,0,0,0
8.827999999999992,0.0,0,0,0,0,0
8.831999999999992,0.0,0,0,0,0,0
9.131999999999993,0.0,0,0,0,0,0
9.135999999999992,0.0,0,0,0,0,0
9.435999999999993,0.0,0,0,0,0,0
9.439999999999992,0.0,0,0,0,0,0
9.739999999999993,0.0,0,0,0,0,0
9.743999999999993,0.0,0,0,0,0,0
10.043999999999993,0.0,0,0,0,0,0
10.047999999999993,0.0,0,0,0,0,0
10.347999999999994,0.0,0,0,0,0,0
10.351999999999993,0.0,0,0,0,0,0
10.651999999999994,0.0,0,0,0,0,0
10.655999999999993,0.0,0,0,0,0,0
10.955999999999994,0.0,0,0,0,0,0
10.959999999999994,0.0,0,0,0,0,0
11.259999999999994,0.0,0,0,0,0,0
11.263999999999994,0.0,0,0,0,0,0
11.563999999999995,0.0,0,0,0,0,0
11.567999999999994,0.0,0,0,0,0,0
11.867999999999995,0.0,0,0,0,0,0
11.871999999999995,0.0,0,0,0,0,0
12.171999999999995,0.0,0,0,0,0,0
12.175999999999995,0.0,0,0,0,0,0
12.475999999999996,0.0,0,0,0,0,0
12.479999999999995,0.0,0,0,0,0,0
12.779999999999996,0.0,0,0,0,0,0
12.783999999999995,0.0,0,0,0,0,0
13.083999999999996,0.0,0,0,0,0,0
13.087999999999996,0.0,0,0,0,0,0
13.387999999999996,0.0,0,0,0,0,0
13.391999999999996,0.0,0,0,0,0,0
13.691999999999997,0.0,0,0,0,0,0
13.695999999999996,0.0,0,0,0,0,0
13.995999999999997,0.0,0,0,0,0,0
13.999999999999996,0.0,0,0,0,0,0
14.299999999999997,0.0,0,0,0,0,0
14.303999999999997,0.0,0,0,0,0,0
14.603999999999997,0.0,0,0,0,0,0
14.607999999999997,0.0,0,0,0,0,0
14.907999999999998,0.0,0,0,0,0,0
14.911999999999997,0.0,0,0,0,0,0
15.211999999999998,0.0,0,0,0,0,0
15.215999999999998,0.0,0,0,0,0,0
15.515999999999998,0.0,0,0,0,0,0
15.519999999999998,0.0,0,0,0,0,0
15.819999999999999,0.0,0,0,0,0,0
15.823999999999998,0.0,0,0,0,0,0
16.124,0.0,0,0,0,0,0
16.128,0.0,0,0,0,0,0
16.428,0.0,0,0,0,0,0
16.432000000000002,0.0,0,0,0,0,0
16.732000000000003,0.0,0,0,0,0,0
16.736000000000004,0.0,0,0,0,0,0
17.036000000000005,0.0,0,0,0,0,0
17.040000000000006,0.0,0,0,0,0,0
17.340000000000007,0.0,0,0,0,0,0
17.34400000000001,0.0,0,0,0,0,0
17.64400000000001,0.0,0,0,0,0,0
17.64800000000001,0.0,0,0,0,0,0
17.94800000000001,0.0,0,0,0,0,0
17.952000000000012,0.0,0,0,0,0,0
18.252000000000013,0.0,0,0,0,0,0
18.256000000000014,0.0,0,0,0,0,0
18.556000000000015,0.0,0,0,0,0,0
18.560000000000016,0.0,0,0,0,0,0
18.860000000000017,0.0,0,0,0,0,0
18.86400000000002,0.0,0,0,0,0,0
19.16400000000002,0.0,0,0,0,0,0
19.16800000000002,0.0,0,0,0,0,0
19.46800000000002,0.0,0,0,0,0,0
19.472000000000023,0.0,0,0,0,0,0
19.772000000000023,0.0,0,0,0,0,0
19.776000000000025,0.0,0,0,0,0,0
20.076000000000025,0.0,0,0,0,0,0
20.080000000000027,0.0,0,0,5.0,0,0
20.380000000000027,0.0,0,0,5.0,0,0
20.38240000000003,0.0,0,0,3.0,0,1.0
20.68240000000003,0.0,0,0,3.0,0,1.0
20.68840000000003,0.0,0,0,3.0,0,1.0
20.98840000000003,0.0,0,0,3.0,0,1.0
20.99440000000003,0.0,0,0,3.0,0,1.0
21.29440000000003,0.0,0,0,3.0,0,1.0
21.30040000000003,0.0,0,0,3.0,0,1.0
21.600400000000032,0.0,0,0,3.0,0,1.0
21.606400000000033,0.0,0,0,3.0,0,1.0
21.906400000000033,0.0,0,0,3.0,0,1.0
21.912400000000034,0.0,0,0,3.0,0,1.0
22.212400000000034,0.0,0,0,3.0,0,1.0
22.218400000000035,0.0,0,0,1.0,0,2.0
22.518400000000035,0.0,0,0,1.0,0,2.0
22.524400000000036,0.0,0,0,1.0,0,2.0
22.824400000000036,0.0,0,0,1.0,0,2.0
22.830400000000036,0.0,0,0,1.0,0,2.0
23.130400000000037,0.0,0,0,1.0,0,2.0
23.136400000000037,0.0,0,0,1.0,0,2.0
23.436400000000038,0.0,0,0,1.0,0,2.0
23.44240000000004,0.0,0,0,1.0,0,2.0
23.74240000000004,0.0,0,0,1.0,0,2.0
23.74840000000004,0.0,0,0,1.0,0,2.0
24.04840000000004,0.0,0,0,1.0,0,2.0
24.05440000000004,0.0,0,0,1.0,0,2.0
24.35440000000004,0.0,0,0,1.0,0,2.0
24.36040000000004,0.0,0,0,1.0,0,2.0
24.660400000000042,0.0,0,0,1.0,0,2.0
24.666400000000042,0.0,0,0,1.0,0,2.0
24.966400000000043,0.0,0,0,1.0,0,2.0
