Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
0.285000,4999.715044,2999.715044,100.284956,100.284956,95
0.288000,4999.712044,2999.712044,100.287956,100.287956,96
0.291000,4999.709045,2999.709045,100.290955,100.290955,97
0.294000,4999.706045,2999.706045,100.293955,100.293955,98
0.297000,4999.703046,2999.703046,100.296954,100.296954,99
0.300000,4999.700046,2999.700046,100.299954,100.299954,100
0.303000,4999.697046,2999.697046,100.302954,100.302954,101
0.306000,4999.694047,2999.694047,100.305953,100.305953,102
0.309000,4999.691047,2999.691047,100.308953,100.308953,103
0.312000,4999.688048,2999.688048,100.311952,100.311952,104
0.315000,4999.685048,2999.685048,100.314952,100.314952,105
0.318000,4999.682049,2999.682049,100.317951,100.317951,106
0.321000,4999.679049,2999.679049,100.320951,100.320951,107
0.324000,4999.676050,2999.676050,100.323950,100.323950,108
0.327000,4999.673050,2999.673050,100.326950,100.326950,109
0.330000,4999.670051,2999.670051,100.329949,100.329949,110
0.333000,4999.667051,2999.667051,100.332949,100.332949,111
0.336000,4999.664052,2999.664052,100.335948,100.335948,112
0.339000,4999.661052,2999.661052,100.338948,100.338948,113
0.342000,4999.658052,2999.658052,100.341948,100.341948,114
0.345000,4999.655053,2999.655053,100.344947,100.344947,115
0.348000,4999.652053,2999.652053,100.347947,100.347947,116
0.351000,4999.649054,2999.649054,100.350946,100.350946,117
0.354000,4999.646054,2999.646054,100.353946,100.353946,118
0.357000,4999.643055,2999.643055,100.356945,100.356945,119
0.360000,4999.640055,2999.640055,100.359945,100.359945,120
0.363000,4999.637056,2999.637056,100.362944,100.362944,121
0.366000,4999.634056,2999.634056,100.365944,100.365944,122
0.369000,4999.631057,2999.631057,100.368943,100.368943,123
0.372000,4999.628057,2999.628057,100.371943,100.371943,124
0.375000,4999.625057,2999.625057,100.374943,100.374943,125
0.378000,4999.622058,2999.622058,100.377942,100.377942,126
0.381000,4999.619058,2999.619058,100.380942,100.380942,127
0.384000,4999.616059,2999.616059,100.383941,100.383941,128
0.387000,4999.613059,2999.613059,100.386941,100.386941,129
0.390000,4999.610060,2999.610060,100.389940,100.389940,130
0.393000,4999.607060,2999.607060,100.392940,100.392940,131
0.396000,4999.604061,2999.604061,100.395939,100.395939,132
0.399000,4999.601061,2999.601061,100.398939,100.398939,133
