time,P12,P14,P21,P24,P27,P3,P6,P7,P8,T1,T6
0.0,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
0.5,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
0.5012,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
1.0011999999999999,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
1.0024,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
1.5024,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
1.5036,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
2.0036,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
2.0048,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
2.5048,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
2.506,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
3.006,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
3.0071999999999997,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
3.5071999999999997,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
3.5083999999999995,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
4.0084,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
4.0096,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
4.5096,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
4.5108,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
5.0108,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
5.012,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
5.512,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
5.513199999999999,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
6.013199999999999,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
6.014399999999999,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
6.514399999999999,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
6.515599999999999,60.0,0,0,2.0,4.0,1,0,0,0,2454,638
7.015599999999999,60.0,0,0,2.0,4.0,1,0,0,0,2454,638
7.0165999999999995,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
7.5165999999999995,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
7.517799999999999,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
8.0178,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
8.019,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
8.519,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
8.5202,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
9.0202,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
9.021400000000002,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
9.521400000000002,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
9.522600000000002,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
10.022600000000002,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
10.023800000000003,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
10.523800000000003,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
10.525000000000004,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
11.025000000000004,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
11.026200000000005,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
11.526200000000005,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
11.527400000000005,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
12.027400000000005,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
12.028600000000006,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
12.528600000000006,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
12.529800000000007,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
13.029800000000007,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
13.031000000000008,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
13.531000000000008,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
13.532200000000008,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
14.032200000000008,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
14.03340000000001,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
14.53340000000001,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
14.53460000000001,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
15.03460000000001,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
15.03580000000001,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
15.53580000000001,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
15.537000000000011,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
16.037000000000013,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
16.038200000000014,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
16.538200000000014,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
16.539400000000015,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
17.039400000000015,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
17.040600000000016,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
17.540600000000016,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
17.541800000000016,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
18.041800000000016,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
18.043000000000017,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
18.543000000000017,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
18.544200000000018,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
19.044200000000018,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
19.04540000000002,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
19.54540000000002,50.0,0,0,2.0,4.0,1,0,0,0,2454,638
19.54660000000002,40.0,0,0,2.0,4.0,1,0,0,0,2454,638
20.04660000000002,40.0,0,0,2.0,4.0,1,0,0,0,2454,638
20.04810000000002,40.0,0,0,2.0,4.0,1,0,0,0,2454,638
20.54810000000002,40.0,0,0,2.0,4.0,1,0,0,0,2454,638
20.54960000000002,40.0,0,0,2.0,4.0,1,0,0,0,2454,638
21.04960000000002,40.0,0,0,2.0,4.0,1,0,0,0,2454,638
21.05110000000002,40.0,0,0,2.0,4.0,1,0,0,0,2454,638
21.55110000000002,40.0,0,0,2.0,4.0,1,0,0,0,2454,638
21.55260000000002,30.0,0,0,2.0,5.0,1,0,0,0,2454,638
22.05260000000002,30.0,0,0,2.0,5.0,1,0,0,0,2454,638
22.05460000000002,30.0,0,0,2.0,5.0,1,0,0,0,2454,638
22.55460000000002,30.0,0,0,2.0,5.0,1,0,0,0,2454,638
22.556600000000017,30.0,0,0,2.0,5.0,1,0,0,0,2454,638
23.056600000000017,30.0,0,0,2.0,5.0,1,0,0,0,2454,638
23.058600000000016,30.0,0,0,2.0,5.0,1,0,0,0,2454,638
