time,P12,P14,P21,P24,P27,P7,P8
0.0,50.0,0,0,2.0,4.0,0,0
0.5,50.0,0,0,2.0,4.0,0,0
0.5012,40.0,0,0,2.0,4.0,0,0
1.0011999999999999,40.0,0,0,2.0,4.0,0,0
1.0027,40.0,0,0,2.0,4.0,0,0
1.5027,40.0,0,0,2.0,4.0,0,0
1.5042,40.0,0,0,2.0,4.0,0,0
2.0042,40.0,0,0,2.0,4.0,0,0
2.0057,40.0,0,0,2.0,4.0,0,0
2.5057,40.0,0,0,2.0,4.0,0,0
2.5072,40.0,0,0,2.0,4.0,0,0
3.0072,40.0,0,0,2.0,4.0,0,0
3.0087,40.0,0,0,2.0,4.0,0,0
3.5087,40.0,0,0,2.0,4.0,0,0
3.5102,40.0,0,0,2.0,4.0,0,0
4.0102,40.0,0,0,2.0,4.0,0,0
4.0117,40.0,0,0,2.0,4.0,0,0
4.5117,40.0,0,0,2.0,4.0,0,0
4.5132,40.0,0,0,2.0,4.0,0,0
5.0132,40.0,0,0,2.0,4.0,0,0
5.0147,40.0,0,0,2.0,4.0,0,0
5.5147,40.0,0,0,2.0,4.0,0,0
5.5162,40.0,0,0,2.0,4.0,0,0
6.0162,40.0,0,0,2.0,4.0,0,0
6.0177000000000005,40.0,0,0,2.0,4.0,0,0
6.5177000000000005,40.0,0,0,2.0,4.0,0,0
6.5192000000000005,40.0,0,0,2.0,4.0,0,0
7.0192000000000005,40.0,0,0,2.0,4.0,0,0
7.020700000000001,40.0,0,0,2.0,4.0,0,0
7.520700000000001,40.0,0,0,2.0,4.0,0,0
7.522200000000001,40.0,0,0,2.0,4.0,0,0
8.022200000000002,40.0,0,0,2.0,4.0,0,0
8.023700000000002,40.0,0,0,2.0,4.0,0,0
8.523700000000002,40.0,0,0,2.0,4.0,0,0
8.525200000000002,40.0,0,0,2.0,4.0,0,0
9.025200000000002,40.0,0,0,2.0,4.0,0,0
9.026700000000002,40.0,0,0,2.0,4.0,0,0
9.526700000000002,40.0,0,0,2.0,4.0,0,0
9.528200000000002,40.0,0,0,2.0,4.0,0,0
10.028200000000002,40.0,0,0,2.0,4.0,0,0
10.029700000000002,40.0,0,0,2.0,4.0,0,0
10.529700000000002,40.0,0,0,2.0,4.0,0,0
10.531200000000002,40.0,0,0,2.0,4.0,0,0
11.031200000000002,40.0,0,0,2.0,4.0,0,0
11.032700000000002,40.0,0,0,2.0,4.0,0,0
11.532700000000002,40.0,0,0,2.0,4.0,0,0
11.534200000000002,40.0,0,0,2.0,4.0,0,0
12.034200000000002,40.0,0,0,2.0,4.0,0,0
12.035700000000002,40.0,0,0,2.0,4.0,0,0
12.535700000000002,40.0,0,0,2.0,4.0,0,0
12.537200000000002,40.0,0,0,2.0,4.0,0,0
13.037200000000002,40.0,0,0,2.0,4.0,0,0
13.038700000000002,40.0,0,0,2.0,4.0,0,0
13.538700000000002,40.0,0,0,2.0,4.0,0,0
13.540200000000002,40.0,0,0,2.0,4.0,0,0
14.040200000000002,40.0,0,0,2.0,4.0,0,0
14.041700000000002,40.0,0,0,2.0,4.0,0,0
14.541700000000002,40.0,0,0,2.0,4.0,0,0
14.543200000000002,40.0,0,0,2.0,4.0,0,0
15.043200000000002,40.0,0,0,2.0,4.0,0,0
15.044700000000002,30.0,0,0,2.0,4.0,0,0
15.544700000000002,30.0,0,0,2.0,4.0,0,0
15.546700000000003,30.0,0,0,2.0,4.0,0,0
16.0467,30.0,0,0,2.0,4.0,0,0
16.0487,30.0,0,0,2.0,4.0,0,0
16.5487,30.0,0,0,2.0,4.0,0,0
16.5507,30.0,0,0,2.0,4.0,0,0
17.0507,30.0,0,0,2.0,4.0,0,0
17.052699999999998,30.0,0,0,2.0,4.0,0,0
17.552699999999998,30.0,0,0,2.0,4.0,0,0
17.554699999999997,40.0,0,0,2.0,4.0,0,0
