time,P12,P14,P21,P24,P27,P7,P8
0.0,50.0,0,0,2.0,4.0,0,0
0.5,50.0,0,0,2.0,4.0,0,0
0.5012,50.0,0,0,2.0,4.0,0,0
1.0011999999999999,50.0,0,0,2.0,4.0,0,0
1.0024,50.0,0,0,2.0,4.0,0,0
1.5024,50.0,0,0,2.0,4.0,0,0
1.5036,50.0,0,0,2.0,4.0,0,0
2.0036,50.0,0,0,2.0,4.0,0,0
2.0048,50.0,0,0,2.0,4.0,0,0
2.5048,50.0,0,0,2.0,4.0,0,0
2.506,50.0,0,0,2.0,4.0,0,0
3.006,50.0,0,0,2.0,4.0,0,0
3.0071999999999997,50.0,0,0,2.0,4.0,0,0
3.5071999999999997,50.0,0,0,2.0,4.0,0,0
3.5083999999999995,50.0,0,0,2.0,4.0,0,0
4.0084,50.0,0,0,2.0,4.0,0,0
4.0096,40.0,0,0,2.0,4.0,0,0
4.5096,40.0,0,0,2.0,4.0,0,0
4.5111,40.0,0,0,2.0,4.0,0,0
5.0111,40.0,0,0,2.0,4.0,0,0
5.0126,40.0,0,0,2.0,4.0,0,0
5.5126,40.0,0,0,2.0,4.0,0,0
5.5141,40.0,0,0,2.0,4.0,0,0
6.0141,40.0,0,0,2.0,4.0,0,0
6.0156,50.0,0,0,2.0,4.0,0,0
6.5156,50.0,0,0,2.0,4.0,0,0
6.5168,50.0,0,0,2.0,4.0,0,0
7.0168,50.0,0,0,2.0,4.0,0,0
7.018,50.0,0,0,2.0,4.0,0,0
7.518,50.0,0,0,2.0,4.0,0,0
7.5192,50.0,0,0,2.0,4.0,0,0
8.0192,50.0,0,0,2.0,4.0,0,0
8.0204,50.0,0,0,2.0,4.0,0,0
8.5204,50.0,0,0,2.0,4.0,0,0
8.521600000000001,50.0,0,0,2.0,4.0,0,0
9.021600000000001,50.0,0,0,2.0,4.0,0,0
9.022800000000002,50.0,0,0,2.0,4.0,0,0
9.522800000000002,50.0,0,0,2.0,4.0,0,0
9.524000000000003,50.0,0,0,2.0,4.0,0,0
10.024000000000003,50.0,0,0,2.0,4.0,0,0
10.025200000000003,50.0,0,0,2.0,4.0,0,0
10.525200000000003,50.0,0,0,2.0,4.0,0,0
10.526400000000004,50.0,0,0,2.0,4.0,0,0
11.026400000000004,50.0,0,0,2.0,4.0,0,0
11.027600000000005,50.0,0,0,2.0,4.0,0,0
11.527600000000005,50.0,0,0,2.0,4.0,0,0
11.528800000000006,50.0,0,0,2.0,4.0,0,0
12.028800000000006,50.0,0,0,2.0,4.0,0,0
12.030000000000006,50.0,0,0,2.0,4.0,0,0
12.530000000000006,50.0,0,0,2.0,4.0,0,0
12.531200000000007,50.0,0,0,2.0,4.0,0,0
13.031200000000007,50.0,0,0,2.0,4.0,0,0
13.032400000000008,50.0,0,0,2.0,4.0,0,0
13.532400000000008,50.0,0,0,2.0,4.0,0,0
13.533600000000009,50.0,0,0,2.0,4.0,0,0
14.033600000000009,50.0,0,0,2.0,4.0,0,0
14.03480000000001,50.0,0,0,2.0,4.0,0,0
14.53480000000001,50.0,0,0,2.0,4.0,0,0
14.53600000000001,50.0,0,0,2.0,4.0,0,0
15.03600000000001,50.0,0,0,2.0,4.0,0,0
15.037200000000011,50.0,0,0,2.0,4.0,0,0
15.537200000000011,50.0,0,0,2.0,4.0,0,0
15.538400000000012,50.0,0,0,2.0,4.0,0,0
16.03840000000001,50.0,0,0,2.0,4.0,0,0
16.03960000000001,50.0,0,0,2.0,4.0,0,0
16.53960000000001,50.0,0,0,2.0,4.0,0,0
16.54080000000001,50.0,0,0,2.0,4.0,0,0
17.04080000000001,50.0,0,0,2.0,4.0,0,0
17.042000000000012,50.0,0,0,2.0,4.0,0,0
17.542000000000012,50.0,0,0,2.0,4.0,0,0
17.543200000000013,50.0,0,0,2.0,4.0,0,0
