replicate_id,seed,n_timepoints,final_time,deadlocked,elapsed_time_s,n_kept,compression_ratio,final_P1,final_P10,final_P11,final_P12,final_P13,final_P14,final_P15,final_P16,final_P17,final_P18,final_P19,final_P2,final_P20,final_P21,final_P22,final_P23,final_P24,final_P25,final_P26,final_P27,final_P28,final_P29,final_P3,final_P4,final_P5,final_P6,final_P7,final_P8,final_P9
45,87,121,60.0,False,,80,1.51,0.10000000149011612,1.0,0.48480141162872314,0.2645430564880371,0.4962241053581238,0.29245248436927795,1.0063966512680054,0.655823290348053,0.5727700591087341,0.41542595624923706,3004.75048828125,0.10000000149011612,295.2496337890625,1511.203857421875,261.7961120605469,984.0457153320312,7.199999809265137,7.5,1.0,310.1499938964844,0.36308690905570984,0.33652809262275696,49.02053451538086,0.4897213876247406,0.489744633436203,49.02740478515625,0.48700469732284546,0.4855923056602478,1.0
46,88,121,60.0,False,,67,1.81,0.10000000149011612,1.0,0.6496458649635315,0.4589589238166809,0.5086678266525269,0.37562471628189087,0.724254310131073,0.5701463222503662,0.3249894976615906,0.2793855369091034,3010.212158203125,0.10000000149011612,289.7879333496094,1520.959716796875,252.04034423828125,968.8282470703125,7.199999809265137,7.5,1.0,310.1499938964844,0.3046196699142456,0.295426607131958,49.02056121826172,0.489716500043869,0.4897206425666809,49.02565383911133,0.48729726672172546,0.48704832792282104,1.0
47,89,121,60.0,False,,79,1.53,0.10000000149011612,1.0,0.6042418479919434,0.3149636387825012,1.1930276155471802,0.7187504172325134,2.4640073776245117,1.66879403591156,1.102490782737732,0.8423892855644226,2997.309814453125,0.10000000149011612,302.69012451171875,1497.0845947265625,275.9154052734375,1005.6055297851562,7.199999809265137,7.5,1.0,310.1499938964844,0.39815276861190796,0.3750118911266327,49.02044677734375,0.489743173122406,0.4898088872432709,49.032630920410156,0.48568764328956604,0.48168110847473145,1.0
48,90,121,60.0,False,,119,1.02,0.10000000149011612,1.0,2.597585678100586,2.282745361328125,2.7540688514709473,2.545706272125244,3.2556092739105225,3.1175124645233154,0.674273669719696,0.6563538312911987,2996.3388671875,0.10000000149011612,303.6610412597656,1492.62939453125,280.3705749511719,1011.0316162109375,7.199999809265137,7.5,1.0,310.1499938964844,0.363273561000824,0.35420694947242737,49.020225524902344,0.4898352324962616,0.48993945121765137,49.04621124267578,0.4800835847854614,0.47370675206184387,1.0
49,91,121,60.0,False,,92,1.32,0.10000000149011612,1.0,7.39072847366333,5.49014949798584,3.0080039501190186,2.644691228866577,2.4486165046691895,2.3831140995025635,0.21551701426506042,0.2132473587989807,2999.040283203125,0.10000000149011612,300.959716796875,1496.82666015625,276.1733093261719,1004.133056640625,7.199999809265137,7.5,1.0,310.1499938964844,0.3801933526992798,0.37096932530403137,49.02007293701172,0.489935964345932,0.48999232053756714,49.055606842041016,0.47392430901527405,0.4704706370830536,1.0
50,92,121,60.0,False,,111,1.09,0.10000000149011612,1.0,10.38426685333252,8.700632095336914,3.1737847328186035,2.932260274887085,2.3780906200408936,2.345346689224243,0.17413415014743805,0.17317993938922882,2999.1884765625,0.10000000149011612,300.8114929199219,1496.61572265625,276.3843078613281,1004.19580078125,7.199999809265137,7.5,1.0,310.1499938964844,0.3824322521686554,0.3731650412082672,49.020057678222656,0.48994749784469604,0.48999491333961487,49.05647277832031,0.47321754693984985,0.47031107544898987,1.0
51,93,121,60.0,False,,110,1.10,0.10000000149011612,1.0,14.387066841125488,13.26878547668457,1.9484732151031494,1.9484732151031494,2.059352397918701,2.059352397918701,0.04529406130313873,0.04525654762983322,2999.87353515625,0.10000000149011612,300.12646484375,1499.9052734375,273.0947570800781,1000.22119140625,7.199999809265137,7.5,1.0,310.1499938964844,0.38999050855636597,0.38055452704429626,49.020015716552734,0.489985853433609,0.4899996519088745,49.059112548828125,0.4708668887615204,0.47002124786376953,1.0
52,94,121,60.0,False,,120,1.01,0.10000000149011612,1.0,12.502965927124023,3.430429458618164,5.041850566864014,2.414160966873169,3.1767914295196533,2.467986822128296,0.3227291405200958,0.2904045283794403,2998.0498046875,0.10000000149011612,301.9501037597656,1493.444091796875,279.555908203125,1008.5060424804688,7.199999809265137,7.5,1.0,310.1499938964844,0.3762834072113037,0.36695873737335205,49.02009963989258,0.48991456627845764,0.4899858832359314,49.05390167236328,0.4752337634563446,0.4708646535873413,1.0
53,95,121,60.0,False,,114,1.06,0.10000000149011612,1.0,13.591046333312988,5.522082805633545,5.358479022979736,3.0224201679229736,3.262213945388794,2.632197380065918,0.3265553414821625,0.29776862263679504,2997.76806640625,0.10000000149011612,302.23193359375,1492.0771484375,280.9228210449219,1010.15478515625,7.199999809265137,7.5,1.0,310.1499938964844,0.37630730867385864,0.3670034408569336,49.02009963989258,0.48991456627845764,0.4899858832359314,49.05390167236328,0.475233793258667,0.4708646237850189,1.0
99,141,121,60.0,False,,89,1.36,0.10000000149011612,1.0,1.6428587436676025,0.8464246392250061,1.9100621938705444,1.7980209589004517,2.2036614418029785,2.186309814453125,0.9733625650405884,0.970620334148407,2999.5390625,0.10000000149011612,300.46099853515625,1499.5552978515625,273.4447326660156,1000.90576171875,7.199999809265137,7.5,1.0,310.1499938964844,0.3898515999317169,0.37293046712875366,49.020057678222656,0.48994794487953186,0.4899945557117462,49.05647659301758,0.4731892943382263,0.47033292055130005,1.0
