time,P3,P6,P7,P8
0.0,0,0,0,0
0.15,0,0,0,0
0.16,0,0,0,0
0.31,0,0,0,0
0.32,0,0,0,0
0.47,0,0,0,0
0.48,0,0,0,0
0.63,0,0,0,0
0.64,0,0,0,0
0.79,0,0,0,0
0.8,0,0,0,0
0.9500000000000001,0,0,0,0
0.9600000000000001,0,0,0,0
1.11,0,0,0,0
1.12,0,0,0,0
1.27,0,0,0,0
1.28,0,0,0,0
1.43,0,0,0,0
1.434,0,0,0,0
1.5839999999999999,0,0,0,0
1.5879999999999999,0,0,0,0
1.7379999999999998,0,0,0,0
1.7419999999999998,0,0,0,0
1.8919999999999997,0,0,0,0
1.8959999999999997,0,0,0,0
2.046,0,0,0,0
2.05,0,0,0,0
2.1999999999999997,0,0,0,0
2.2039999999999997,0,0,0,0
2.3539999999999996,0,0,0,0
2.3579999999999997,0,0,0,0
2.5079999999999996,0,0,0,0
2.5119999999999996,0,0,0,0
2.6619999999999995,0,0,0,0
2.6659999999999995,0,5.0,0,0
2.8159999999999994,0,5.0,0,0
2.8183999999999996,0,5.0,0,0
2.9683999999999995,0,5.0,0,0
2.9707999999999997,0,5.0,0,0
3.1207999999999996,0,5.0,0,0
3.1231999999999998,0,5.0,0,0
3.2731999999999997,0,5.0,0,0
3.2756,0,5.0,0,0
3.4255999999999998,0,5.0,0,0
3.428,0,5.0,0,0
3.578,0,5.0,0,0
3.5804,0,5.0,0,0
3.7304,0,5.0,0,0
3.7328,0,5.0,0,0
3.8828,0,5.0,0,0
3.8852,0,5.0,0,0
4.035200000000001,0,5.0,0,0
4.0376,0,5.0,0,0
4.187600000000001,0,5.0,0,0
4.19,0,5.0,0,0
4.340000000000001,0,5.0,0,0
4.3424000000000005,0,5.0,0,0
4.492400000000001,0,5.0,0,0
4.494800000000001,0,5.0,0,0
4.644800000000001,0,5.0,0,0
4.647200000000001,0,5.0,0,0
4.797200000000001,0,5.0,0,0
4.799600000000001,0,5.0,0,0
4.949600000000001,0,5.0,0,0
4.952000000000001,0,3.0,0,1.0
5.102000000000001,0,3.0,0,1.0
5.106000000000001,0,3.0,0,1.0
5.256000000000001,0,3.0,0,1.0
5.260000000000001,0,3.0,0,1.0
5.410000000000001,0,3.0,0,1.0
5.414000000000001,0,3.0,0,1.0
5.564000000000001,0,3.0,0,1.0
5.5680000000000005,0,3.0,0,1.0
5.718000000000001,0,3.0,0,1.0
5.722,0,3.0,0,1.0
5.872000000000001,0,3.0,0,1.0
5.876,0,3.0,0,1.0
6.026000000000001,0,3.0,0,1.0
6.03,0,3.0,0,1.0
6.180000000000001,0,3.0,0,1.0
6.184,0,3.0,0,1.0
6.3340000000000005,0,3.0,0,1.0
6.338,0,3.0,0,1.0
6.488,0,3.0,0,1.0
6.492,0,3.0,0,1.0
6.642,0,3.0,0,1.0
6.646,0,3.0,0,1.0
6.796,0,3.0,0,1.0
6.8,0,3.0,0,1.0
6.95,0,3.0,0,1.0
6.954,0,3.0,0,1.0
7.104,0,3.0,0,1.0
7.108,0,3.0,0,1.0
7.258,0,3.0,0,1.0
7.262,0,3.0,0,1.0
7.412,0,3.0,0,1.0
7.4159999999999995,0,3.0,0,1.0
7.566,0,3.0,0,1.0
7.569999999999999,5.0,3.0,0,1.0
7.72,5.0,3.0,0,1.0
7.7223999999999995,5.0,3.0,0,1.0
7.8724,5.0,3.0,0,1.0
7.8748,5.0,3.0,0,1.0
8.024799999999999,5.0,3.0,0,1.0
8.027199999999999,5.0,3.0,0,1.0
8.1772,5.0,3.0,0,1.0
8.179599999999999,5.0,3.0,0,1.0
8.3296,5.0,3.0,0,1.0
8.331999999999999,5.0,3.0,0,1.0
8.482,5.0,3.0,0,1.0
8.484399999999999,5.0,3.0,0,1.0
8.6344,5.0,3.0,0,1.0
8.6368,5.0,3.0,0,1.0
8.7868,5.0,3.0,0,1.0
8.7892,5.0,3.0,0,1.0
8.9392,5.0,3.0,0,1.0
8.9416,5.0,3.0,0,1.0
9.0916,5.0,3.0,0,1.0
9.094,5.0,3.0,0,1.0
9.244,5.0,3.0,0,1.0
9.2464,5.0,3.0,0,1.0
9.3964,5.0,3.0,0,1.0
9.3988,5.0,3.0,0,1.0
9.5488,5.0,3.0,0,1.0
9.5512,5.0,3.0,0,1.0
9.7012,5.0,3.0,0,1.0
9.7036,5.0,3.0,0,1.0
9.8536,5.0,3.0,0,1.0
9.856,5.0,3.0,0,1.0
10.006,5.0,3.0,0,1.0
10.0084,5.0,3.0,0,1.0
10.1584,5.0,3.0,0,1.0
10.1608,5.0,3.0,0,1.0
10.3108,5.0,3.0,0,1.0
10.3132,5.0,3.0,0,1.0
10.4632,5.0,3.0,0,1.0
10.4656,5.0,3.0,0,1.0
10.6156,5.0,3.0,0,1.0
10.618,5.0,3.0,0,1.0
10.768,5.0,3.0,0,1.0
10.7704,5.0,3.0,0,1.0
10.9204,5.0,3.0,0,1.0
10.9228,5.0,3.0,0,1.0
11.0728,5.0,3.0,0,1.0
11.0752,5.0,3.0,0,1.0
11.225200000000001,5.0,3.0,0,1.0
11.2276,5.0,3.0,0,1.0
11.377600000000001,5.0,3.0,0,1.0
11.38,5.0,3.0,0,1.0
11.530000000000001,5.0,3.0,0,1.0
11.5324,5.0,3.0,0,1.0
11.682400000000001,5.0,3.0,0,1.0
11.684800000000001,5.0,3.0,0,1.0
11.834800000000001,5.0,3.0,0,1.0
11.837200000000001,5.0,3.0,0,1.0
11.987200000000001,5.0,3.0,0,1.0
11.989600000000001,5.0,3.0,0,1.0
12.139600000000002,5.0,3.0,0,1.0
12.142000000000001,5.0,3.0,0,1.0
12.292000000000002,5.0,3.0,0,1.0
12.294400000000001,5.0,3.0,0,1.0
12.444400000000002,5.0,3.0,0,1.0
12.446800000000001,5.0,3.0,0,1.0
12.596800000000002,5.0,3.0,0,1.0
12.599200000000002,5.0,3.0,0,1.0
12.749200000000002,5.0,3.0,0,1.0
12.751600000000002,5.0,3.0,0,1.0
12.901600000000002,5.0,3.0,0,1.0
12.904000000000002,5.0,3.0,0,1.0
13.054000000000002,5.0,3.0,0,1.0
13.056400000000002,5.0,3.0,0,1.0
13.206400000000002,5.0,3.0,0,1.0
13.208800000000002,5.0,3.0,0,1.0
13.358800000000002,5.0,3.0,0,1.0
13.361200000000002,3.0,3.0,1.0,1.0
13.511200000000002,3.0,3.0,1.0,1.0
13.517866666666668,3.0,3.0,1.0,1.0
13.667866666666669,3.0,3.0,1.0,1.0
13.674533333333335,3.0,3.0,1.0,1.0
13.824533333333335,3.0,3.0,1.0,1.0
13.8312,3.0,3.0,1.0,1.0
13.981200000000001,3.0,3.0,1.0,1.0
13.987866666666667,3.0,3.0,1.0,1.0
14.137866666666667,3.0,3.0,1.0,1.0
14.144533333333333,3.0,3.0,1.0,1.0
14.294533333333334,3.0,3.0,1.0,1.0
14.3012,3.0,3.0,1.0,1.0
14.4512,3.0,3.0,1.0,1.0
14.457866666666666,3.0,3.0,1.0,1.0
14.607866666666666,3.0,3.0,1.0,1.0
14.614533333333332,3.0,3.0,1.0,1.0
14.764533333333333,3.0,3.0,1.0,1.0
14.771199999999999,3.0,3.0,1.0,1.0
14.921199999999999,3.0,3.0,1.0,1.0
14.927866666666665,3.0,3.0,1.0,1.0
15.077866666666665,3.0,3.0,1.0,1.0
15.084533333333331,3.0,3.0,1.0,1.0
15.234533333333331,3.0,3.0,1.0,1.0
15.241199999999997,3.0,3.0,1.0,1.0
15.391199999999998,3.0,3.0,1.0,1.0
15.397866666666664,3.0,3.0,1.0,1.0
15.547866666666664,3.0,3.0,1.0,1.0
15.55453333333333,3.0,3.0,1.0,1.0
15.70453333333333,3.0,3.0,1.0,1.0
15.711199999999996,1.0,3.0,2.0,1.0
15.861199999999997,1.0,3.0,2.0,1.0
15.867866666666663,1.0,3.0,2.0,1.0
16.017866666666663,1.0,3.0,2.0,1.0
16.02453333333333,1.0,3.0,2.0,1.0
16.17453333333333,1.0,3.0,2.0,1.0
16.181199999999997,1.0,1.0,2.0,2.0
16.331199999999995,1.0,1.0,2.0,2.0
16.341199999999997,1.0,1.0,2.0,2.0
16.491199999999996,1.0,1.0,2.0,2.0
16.501199999999997,1.0,1.0,2.0,2.0
16.651199999999996,1.0,1.0,2.0,2.0
16.661199999999997,1.0,1.0,2.0,2.0
16.811199999999996,1.0,1.0,2.0,2.0
16.821199999999997,1.0,1.0,2.0,2.0
16.971199999999996,1.0,1.0,2.0,2.0
16.981199999999998,1.0,1.0,2.0,2.0
17.131199999999996,1.0,1.0,2.0,2.0
17.141199999999998,1.0,1.0,2.0,2.0
17.291199999999996,1.0,1.0,2.0,2.0
17.301199999999998,1.0,1.0,2.0,2.0
17.451199999999996,1.0,1.0,2.0,2.0
17.461199999999998,1.0,1.0,2.0,2.0
17.611199999999997,1.0,1.0,2.0,2.0
17.621199999999998,1.0,1.0,2.0,2.0
17.771199999999997,1.0,1.0,2.0,2.0
17.7812,1.0,1.0,2.0,2.0
17.931199999999997,1.0,1.0,2.0,2.0
17.9412,1.0,1.0,2.0,2.0
18.091199999999997,1.0,1.0,2.0,2.0
18.1012,1.0,1.0,2.0,2.0
18.251199999999997,1.0,1.0,2.0,2.0
18.2612,1.0,1.0,2.0,2.0
18.411199999999997,1.0,1.0,2.0,2.0
18.4212,1.0,1.0,2.0,2.0
18.571199999999997,1.0,1.0,2.0,2.0
18.5812,1.0,1.0,2.0,2.0
18.731199999999998,1.0,1.0,2.0,2.0
18.7412,1.0,1.0,2.0,2.0
18.891199999999998,1.0,1.0,2.0,2.0
18.9012,1.0,1.0,2.0,2.0
19.051199999999998,1.0,1.0,2.0,2.0
19.0612,1.0,1.0,2.0,2.0
19.211199999999998,1.0,1.0,2.0,2.0
19.2152,1.0,1.0,2.0,2.0
19.365199999999998,1.0,1.0,2.0,2.0
19.3692,1.0,1.0,2.0,2.0
19.519199999999998,1.0,1.0,2.0,2.0
19.5232,1.0,1.0,2.0,2.0
19.673199999999998,1.0,1.0,2.0,2.0
19.6772,1.0,1.0,2.0,2.0
19.827199999999998,1.0,1.0,2.0,2.0
19.8312,1.0,1.0,2.0,2.0
19.981199999999998,1.0,1.0,2.0,2.0
19.9852,1.0,1.0,2.0,2.0
20.135199999999998,1.0,1.0,2.0,2.0
20.1392,1.0,1.0,2.0,2.0
20.289199999999997,1.0,1.0,2.0,2.0
20.2932,1.0,1.0,2.0,2.0
20.443199999999997,1.0,1.0,2.0,2.0
20.4472,1.0,6.0,2.0,2.0
20.597199999999997,1.0,6.0,2.0,2.0
20.598866666666662,1.0,6.0,2.0,2.0
20.74886666666666,1.0,6.0,2.0,2.0
20.750533333333326,1.0,6.0,2.0,2.0
20.900533333333325,1.0,6.0,2.0,2.0
20.90219999999999,1.0,6.0,2.0,2.0
21.05219999999999,1.0,6.0,2.0,2.0
21.053866666666654,1.0,6.0,2.0,2.0
21.203866666666652,1.0,6.0,2.0,2.0
21.205533333333317,1.0,6.0,2.0,2.0
21.355533333333316,1.0,6.0,2.0,2.0
21.35719999999998,1.0,6.0,2.0,2.0
21.50719999999998,1.0,6.0,2.0,2.0
21.508866666666645,1.0,6.0,2.0,2.0
21.658866666666643,1.0,6.0,2.0,2.0
21.66053333333331,1.0,6.0,2.0,2.0
21.810533333333307,1.0,6.0,2.0,2.0
21.812199999999972,1.0,6.0,2.0,2.0
21.96219999999997,1.0,6.0,2.0,2.0
21.963866666666636,1.0,6.0,2.0,2.0
22.113866666666635,1.0,6.0,2.0,2.0
22.1155333333333,1.0,4.0,2.0,3.0
22.2655333333333,1.0,4.0,2.0,3.0
22.2692833333333,1.0,4.0,2.0,3.0
22.419283333333297,1.0,4.0,2.0,3.0
22.423033333333297,1.0,4.0,2.0,3.0
22.573033333333296,1.0,4.0,2.0,3.0
22.576783333333296,1.0,4.0,2.0,3.0
22.726783333333294,1.0,4.0,2.0,3.0
22.730533333333295,1.0,4.0,2.0,3.0
22.880533333333293,1.0,4.0,2.0,3.0
22.884283333333293,1.0,4.0,2.0,3.0
23.034283333333292,1.0,4.0,2.0,3.0
23.038033333333292,1.0,4.0,2.0,3.0
23.18803333333329,1.0,4.0,2.0,3.0
23.19178333333329,1.0,4.0,2.0,3.0
23.34178333333329,1.0,4.0,2.0,3.0
23.34553333333329,1.0,4.0,2.0,3.0
23.495533333333288,1.0,4.0,2.0,3.0
23.49928333333329,1.0,4.0,2.0,3.0
23.649283333333287,1.0,4.0,2.0,3.0
23.653033333333287,1.0,4.0,2.0,3.0
23.803033333333286,1.0,4.0,2.0,3.0
23.806783333333286,1.0,4.0,2.0,3.0
23.956783333333284,1.0,4.0,2.0,3.0
23.960533333333284,1.0,4.0,2.0,3.0
24.110533333333283,1.0,4.0,2.0,3.0
24.114283333333283,1.0,4.0,2.0,3.0
24.26428333333328,1.0,4.0,2.0,3.0
24.268033333333282,1.0,4.0,2.0,3.0
24.41803333333328,1.0,4.0,2.0,3.0
24.42178333333328,1.0,4.0,2.0,3.0
24.57178333333328,1.0,4.0,2.0,3.0
24.57553333333328,1.0,4.0,2.0,3.0
24.725533333333278,1.0,4.0,2.0,3.0
24.729283333333278,1.0,4.0,2.0,3.0
24.879283333333277,1.0,4.0,2.0,3.0
24.883033333333277,1.0,4.0,2.0,3.0
25.033033333333275,1.0,4.0,2.0,3.0
25.036783333333275,1.0,4.0,2.0,3.0
25.186783333333274,1.0,4.0,2.0,3.0
25.190533333333274,1.0,4.0,2.0,3.0
25.340533333333273,1.0,4.0,2.0,3.0
25.344283333333273,1.0,4.0,2.0,3.0
25.49428333333327,1.0,4.0,2.0,3.0
25.49803333333327,1.0,4.0,2.0,3.0
25.64803333333327,1.0,4.0,2.0,3.0
25.65178333333327,1.0,4.0,2.0,3.0
25.80178333333327,1.0,4.0,2.0,3.0
25.80553333333327,1.0,4.0,2.0,3.0
25.955533333333268,1.0,4.0,2.0,3.0
25.959283333333268,1.0,4.0,2.0,3.0
26.109283333333266,1.0,4.0,2.0,3.0
26.113033333333266,1.0,4.0,2.0,3.0
26.263033333333265,1.0,4.0,2.0,3.0
26.266783333333265,1.0,4.0,2.0,3.0
26.416783333333264,1.0,4.0,2.0,3.0
26.420533333333264,1.0,4.0,2.0,3.0
26.570533333333263,1.0,4.0,2.0,3.0
26.574283333333263,1.0,4.0,2.0,3.0
26.72428333333326,1.0,4.0,2.0,3.0
26.72803333333326,1.0,4.0,2.0,3.0
26.87803333333326,1.0,4.0,2.0,3.0
26.88178333333326,1.0,4.0,2.0,3.0
27.03178333333326,1.0,4.0,2.0,3.0
27.03553333333326,1.0,4.0,2.0,3.0
27.185533333333257,1.0,4.0,2.0,3.0
27.189283333333258,1.0,4.0,2.0,3.0
27.339283333333256,1.0,4.0,2.0,3.0
27.343033333333256,1.0,4.0,2.0,3.0
27.493033333333255,1.0,4.0,2.0,3.0
27.496783333333255,1.0,4.0,2.0,3.0
27.646783333333254,1.0,4.0,2.0,3.0
27.650533333333254,1.0,4.0,2.0,3.0
27.800533333333252,1.0,4.0,2.0,3.0
27.804283333333252,1.0,4.0,2.0,3.0
27.95428333333325,1.0,4.0,2.0,3.0
27.95803333333325,1.0,4.0,2.0,3.0
28.10803333333325,1.0,4.0,2.0,3.0
28.11178333333325,1.0,4.0,2.0,3.0
28.26178333333325,1.0,4.0,2.0,3.0
28.26553333333325,1.0,4.0,2.0,3.0
28.415533333333247,1.0,4.0,2.0,3.0
28.419283333333247,1.0,4.0,2.0,3.0
28.569283333333246,1.0,4.0,2.0,3.0
28.573033333333246,1.0,4.0,2.0,3.0
28.723033333333245,1.0,4.0,2.0,3.0
28.726783333333245,1.0,4.0,2.0,3.0
28.876783333333243,1.0,4.0,2.0,3.0
28.880533333333243,1.0,4.0,2.0,3.0
29.030533333333242,1.0,4.0,2.0,3.0
29.034283333333242,1.0,4.0,2.0,3.0
29.18428333333324,1.0,4.0,2.0,3.0
29.18803333333324,1.0,4.0,2.0,3.0
29.33803333333324,1.0,4.0,2.0,3.0
29.34178333333324,1.0,4.0,2.0,3.0
29.491783333333238,1.0,4.0,2.0,3.0
29.49553333333324,1.0,4.0,2.0,3.0
29.645533333333237,1.0,4.0,2.0,3.0
29.649283333333237,1.0,4.0,2.0,3.0
29.799283333333236,1.0,4.0,2.0,3.0
29.803033333333236,1.0,4.0,2.0,3.0
29.953033333333234,1.0,4.0,2.0,3.0
29.956783333333235,1.0,4.0,2.0,3.0
30.106783333333233,1.0,4.0,2.0,3.0
30.110533333333233,1.0,4.0,2.0,3.0
30.260533333333232,1.0,4.0,2.0,3.0
30.264283333333232,1.0,4.0,2.0,3.0
30.41428333333323,1.0,4.0,2.0,3.0
30.41803333333323,1.0,4.0,2.0,3.0
30.56803333333323,1.0,4.0,2.0,3.0
30.57178333333323,1.0,4.0,2.0,3.0
30.721783333333228,1.0,4.0,2.0,3.0
30.725533333333228,1.0,4.0,2.0,3.0
30.875533333333227,1.0,4.0,2.0,3.0
30.879283333333227,1.0,4.0,2.0,3.0
31.029283333333225,1.0,4.0,2.0,3.0
31.033033333333226,1.0,4.0,2.0,3.0
31.183033333333224,1.0,4.0,2.0,3.0
31.186783333333224,1.0,4.0,2.0,3.0
31.336783333333223,1.0,4.0,2.0,3.0
31.340533333333223,1.0,4.0,2.0,3.0
31.49053333333322,1.0,4.0,2.0,3.0
31.49428333333322,1.0,4.0,2.0,3.0
31.64428333333322,1.0,4.0,2.0,3.0
31.64803333333322,1.0,4.0,2.0,3.0
31.79803333333322,1.0,4.0,2.0,3.0
31.80178333333322,1.0,4.0,2.0,3.0
31.951783333333218,1.0,4.0,2.0,3.0
31.955533333333218,1.0,4.0,2.0,3.0
32.10553333333322,1.0,4.0,2.0,3.0
32.10928333333322,1.0,4.0,2.0,3.0
32.259283333333215,1.0,4.0,2.0,3.0
32.26303333333321,1.0,4.0,2.0,3.0
32.41303333333321,1.0,4.0,2.0,3.0
32.41678333333321,1.0,4.0,2.0,3.0
32.566783333333206,1.0,4.0,2.0,3.0
32.5705333333332,1.0,4.0,2.0,3.0
32.7205333333332,1.0,4.0,2.0,3.0
32.7242833333332,1.0,4.0,2.0,3.0
32.874283333333196,1.0,4.0,2.0,3.0
32.87803333333319,1.0,4.0,2.0,3.0
33.02803333333319,1.0,4.0,2.0,3.0
33.03178333333319,1.0,4.0,2.0,3.0
33.181783333333186,1.0,4.0,2.0,3.0
33.18553333333318,1.0,4.0,2.0,3.0
33.33553333333318,1.0,4.0,2.0,3.0
33.33928333333318,1.0,4.0,2.0,3.0
